original_filename,filename,category_folder,db_category,parent_category,title,color,style,neck_type,sleeve_length,relative_path
90s minimalism - Cider.jpg,top_peplum_negro_cinturon_cider.jpg,Tops - Crop Tops,Tops / Crop Tops,Ropa Superior,Top Peplum Negro Escote Cuadrado con Cinturón,Negro,Minimalista / Elegante,Cuadrado,Manga Corta Cap,Tops - Crop Tops/top_peplum_negro_cinturon_cider.jpg
Black Floral Printed Dress.jpg,vestido_mini_floral_negro_sin_mangas.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Mini Negro con Estampado Floral Naranja,Negro,Casual / Coctel de Día,Cuello Redondo,Sin Mangas,Vestidos/vestido_mini_floral_negro_sin_mangas.jpg
CONJUNTO DE PIJAMA FEMININO 😴.jpg,pijama_saten_lencero_vino_tiras.jpg,Ropa de dormir - Pijamas,Ropa de dormir / Pijamas,Ropa Íntima y Descanso,Conjunto de Pijama Satinado Color Vino con Encaje,Vino / Borgoña,Descanso / Lencería Satén,Tirantes Finos,Sin Mangas,Ropa de dormir - Pijamas/pijama_saten_lencero_vino_tiras.jpg
Cotton V-neck Broderie Anglaise Pleated Shirred Short Sleeve Blouse - Cider.jpg,blusa_blanca_bordado_ingles_peplum.jpg,Blusas,Blusas,Ropa Superior,Blusa Blanca Bordado Inglés con Corte Peplum,Blanco,Romántico / Casual Elegante,Escote Barco / Cuadrado Suave,Manga Corta,Blusas/blusa_blanca_bordado_ingles_peplum.jpg
D's Amazon Page.jpg,conjunto_enterizo_top_estampado_palazzo_blanco.jpg,Enterizos - Monos,Enterizos / Monos,Prendas de Una Pieza,Conjunto Enterizo Dos Piezas Top Estampado y Pantalón Palazzo Blanco,Blanco / Azul,Resort / Verano Sofisticado,Tirantes Anchos,Sin Mangas,Enterizos - Monos/conjunto_enterizo_top_estampado_palazzo_blanco.jpg
Denim mini dress 🫶.jpg,vestido_mini_denim_tirantes_lazo.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Mini en Denim Azul con Lazos en Tirantes y Falda Ruffle,Azul Denim,Casual / Juvenil,Escote Recto,Sin Mangas,Vestidos/vestido_mini_denim_tirantes_lazo.jpg
Dress.jpg,vestido_mini_cruzado_floral_verde_salvia.jpg,Vestidos,Vestidos,Prendas de Una Pieza,Vestido Mini Cruzado Estilo Wrap Floral Verde Salvia,Verde Salvia,Romántico / Verano,Escote en V Cruzado,Manga Corta con Vuelo,Vestidos/vestido_mini_cruzado_floral_verde_salvia.jpg
descarga (1).jpg,top_canale_negro_cuello_lazo.jpg,Tops - Crop Tops,Tops / Crop Tops,Ropa Superior,Top Canalé Negro de Punto con Lazo Lateral al Cuello,Negro,Chic / Ejecutivo Moderno,Cuello Alto con Lazo,Sin Mangas / Cap Sleeve,Tops - Crop Tops/top_canale_negro_cuello_lazo.jpg
descarga (10).jpg,jeans_wide_leg_tiro_alto_gris_deslavado.jpg,Jeans - Mezclilla,Jeans / Mezclilla,Ropa Inferior,Jeans Wide Leg Tiro Alto en Denim Gris Deslavado,Gris / Charcoal,Streetwear / Denim Urbano,N/A,N/A,Jeans - Mezclilla/jeans_wide_leg_tiro_alto_gris_deslavado.jpg
descarga (11).jpg,top_drapeado_asimetrico_marron_chocolate.jpg,Tops - Crop Tops,Tops / Crop Tops,Ropa Superior,Top Drapeado Fruncido Asimétrico Un Hombro Marrón Chocolate,Marrón Chocolate,Noche / Fiesta Minimalista,Asimétrico / Un Hombro,Sin Mangas,Tops - Crop Tops/top_drapeado_asimetrico_marron_chocolate.jpg
